date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2024-04-01,3077.38,9647.07,1872.12,3595.65,775.53,1.19,2.62,2.97,1.64,1.68,9993.4,,,,,
2024-04-02,3074.96,9586.95,1860.49,3580.68,768.79,-0.08,-0.62,-0.62,-0.42,-0.87,9676.5,,,,,
2024-04-03,3069.30,9544.77,1840.41,3567.80,756.76,-0.18,-0.44,-1.08,-0.36,-1.56,9179.4,,,,,
2024-04-08,3047.05,9394.61,1807.05,3536.41,740.67,-0.72,-1.57,-1.81,-0.88,-2.13,9313.7,,,,,
2024-04-09,3048.54,9448.98,1827.58,3533.49,749.63,0.05,0.58,1.14,-0.08,1.21,7963.5,,,,,
2024-04-10,3027.33,9297.96,1789.94,3504.71,735.73,-0.70,-1.60,-2.06,-0.81,-1.85,8299.9,,,,,
2024-04-11,3034.25,9300.77,1782.09,3504.24,738.67,0.23,0.03,-0.44,-0.01,0.40,8128.0,,,,,
2024-04-12,3019.47,9228.23,1762.88,3475.84,738.43,-0.49,-0.78,-1.08,-0.81,-0.03,8101.8,,,,,
2024-04-15,3057.38,9369.70,1795.52,3549.08,750.90,1.26,1.53,1.85,2.11,1.69,9971.5,,,,,
2024-04-16,3007.07,9155.07,1760.20,3511.11,733.15,-1.65,-2.29,-1.97,-1.07,-2.36,9471.3,,,,,
2024-04-17,3071.38,9381.77,1797.31,3565.40,750.89,2.14,2.48,2.11,1.55,2.42,9184.7,,,,,
2024-04-18,3074.22,9376.81,1787.49,3569.80,745.69,0.09,-0.05,-0.55,0.12,-0.69,9496.2,,,,,
2024-04-19,3065.26,9279.46,1756.00,3541.66,730.56,-0.29,-1.04,-1.76,-0.79,-2.03,8603.4,,,,,
2024-04-22,3044.60,9239.14,1750.46,3530.90,731.81,-0.67,-0.43,-0.32,-0.30,0.17,8220.7,,,,,
2024-04-23,3021.98,9183.14,1753.16,3506.22,727.85,-0.74,-0.61,0.15,-0.70,-0.54,7753.5,,,,,
2024-04-24,3044.82,9251.13,1765.41,3521.62,738.63,0.76,0.74,0.70,0.44,1.48,7953.5,,,,,
2024-04-25,3052.90,9264.48,1764.73,3530.28,733.34,0.27,0.14,-0.04,0.25,-0.72,7743.0,,,,,
2024-04-26,3088.64,9463.91,1823.74,3584.27,752.25,1.17,2.15,3.34,1.53,2.58,10863.8,,,,,
2024-04-29,3113.04,9673.76,1887.57,3623.91,776.15,0.79,2.22,3.50,1.11,3.18,12111.3,,,,,
2024-04-30,3104.82,9587.12,1858.39,3604.39,767.46,-0.26,-0.90,-1.55,-0.54,-1.12,10306.5,,,,,
2024-05-06,3140.72,9779.21,1895.21,3657.88,777.66,1.16,2.00,1.98,1.48,1.33,11024.6,,,,,
2024-05-07,3147.74,9770.94,1892.54,3659.01,769.79,0.22,-0.08,-0.14,0.03,-1.01,9686.9,,,,,
2024-05-08,3128.48,9638.82,1865.11,3630.22,761.66,-0.61,-1.35,-1.45,-0.79,-1.06,8643.8,,,,,
2024-05-09,3154.32,9788.07,1900.01,3664.56,778.87,0.83,1.55,1.87,0.95,2.26,9011.2,,,,,
2024-05-10,3154.55,9731.24,1878.17,3666.28,767.17,0.01,-0.58,-1.15,0.05,-1.50,9125.3,,,,,
2024-05-13,3148.02,9673.32,1860.37,3664.69,763.69,-0.21,-0.60,-0.95,-0.04,-0.45,9097.2,,,,,
2024-05-14,3145.77,9668.73,1855.60,3657.05,760.30,-0.07,-0.05,-0.26,-0.21,-0.44,8245.6,,,,,
2024-05-15,3119.90,9583.54,1838.89,3626.06,749.47,-0.82,-0.88,-0.90,-0.85,-1.42,7610.7,,,,,
2024-05-16,3122.40,9604.13,1844.21,3640.36,746.47,0.08,0.21,0.29,0.39,-0.40,8477.9,,,,,
2024-05-17,3154.03,9709.42,1864.94,3677.97,754.42,1.01,1.10,1.12,1.03,1.07,8873.6,,,,,
2024-05-20,3171.15,9750.82,1875.93,3690.96,753.54,0.54,0.43,0.59,0.35,-0.12,9954.4,,,,,
2024-05-21,3157.97,9681.66,1861.48,3676.16,748.24,-0.42,-0.71,-0.77,-0.40,-0.70,7992.5,,,,,
2024-05-22,3158.54,9693.05,1877.93,3684.45,754.97,0.02,0.12,0.88,0.23,0.90,8312.8,,,,,
2024-05-23,3116.39,9541.64,1852.07,3641.79,742.40,-1.33,-1.56,-1.38,-1.16,-1.66,8477.0,,,,,
2024-05-24,3088.87,9424.58,1818.56,3601.48,727.21,-0.88,-1.23,-1.81,-1.11,-2.05,7639.2,,,,,
